names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Gods of Egypt,2016,U/A 13+ ,2h 6m,"After losing control of Egypt to dark god Set, who brings chaos to the land, god Horus teams up with a mortal thief to save humankind.","['US Movies', 'Action & Adventure']",Exciting,"['Nikolaj Coster-Waldau', 'Brenton Thwaites', 'Chadwick Boseman', 'Élodie Yung', 'Courtney Eaton', 'Gerard Butler', 'Geoffrey Rush', 'Bryan Brown', 'Rufus Sewell', 'Abbey Lee']","['English,', 'Hindi,', 'Tamil']",['English [Original]']
Jurassic World,2015,U/A 16+ ,2h 4m,"When a theme park's newest and deadliest dinosaur gets loose, an animal behavior expert and an executive race to contain chaos across the island.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Adrenaline Rush,","['Chris Pratt', 'Bryce Dallas Howard', ""Vincent D'Onofrio"", 'Ty Simpkins', 'Nick Robinson', 'Omar Sy', 'BD Wong', 'Irrfan Khan', 'Jake Johnson', 'Lauren Lapkus', 'Judy Greer']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Last Airbender,2010,U/A 13+ ,1h 44m,"In a world ravaged by the Fire nation's aggression toward the peaceful Air, Water and Earth nations, a young boy holds the key to restoring peace.","['Sci-Fi Movies', 'Family Features', 'US Movies', 'Action & Adventure']",Exciting,"['Noah Ringer', 'Dev Patel', 'Nicola Peltz', 'Jackson Rathbone', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis', 'Seychelle Gabriel', 'Jessica Andres', 'Keong Sim', 'Summer Bishil', 'Francis Guinan', 'Katharine Houghton', 'Damon Gupton']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Journey 2: The Mysterious Island,2012,U/A 13+ ,1h 34m,"When a distress signal pinpoints his grandfather's location on an uncharted island, teen Sean Anderson teams with an unlikely ally: his stepfather.","['Family Features', 'US Movies', 'Movies Based on Books', 'Action & Adventure']",Exciting,"['Dwayne Johnson', 'Josh Hutcherson', 'Michael Caine', 'Vanessa Hudgens', 'Luis Guzmán', 'Kristin Davis', 'Anna Colwell', 'Stephen Caudill', 'Branscombe Richmond', 'Walter Bankson']",['English'],"['English [Original],', 'Hindi']"
Mowgli: Legend of the Jungle,2018,U/A 13+ ,1h 44m,An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy -- and his own human origins.,"['Family Features', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Gritty,","['Christian Bale', 'Cate Blanchett', 'Benedict Cumberbatch', 'Naomie Harris', 'Andy Serkis', 'Rohan Chand', 'Peter Mullan', 'Jack Reynor', 'Eddie Marsan', 'Tom Hollander', 'Louis Ashbourne Serkis', 'Matthew Rhys', 'Freida Pinto']","['English,', 'English,', 'Hindi,', 'Tamil,', 'Telugu']","['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
Batman v Superman: Dawn of Justice,2016,U/A 16+ ,2h 31m,"It's the Man of Steel vs. the Caped Crusader when Batman becomes suspicious of Superman's increasing power, and Lex Luthor's happy to take advantage.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Dark,","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot', 'Scoot McNairy', 'Michael Shannon']","['English,', 'Hindi']","['English [Original],', 'Hindi']"
Minnal Murali,2021,U/A 13+ ,2h 39m,"A tailor gains special powers after being struck by lightning, but must take down an unexpected foe if he is to become the superhero his hometown needs.","['Action & Adventure', 'Comedies', 'Dramas']","Emotional,","['Tovino Thomas', 'Guru Somasundaram', 'Aju Varghese', 'Baiju', 'Harisree Asokan', 'Femina George', 'Sneha Babu', 'P. Balachandran']","['English,', 'Spanish,', 'Hindi,', 'Malayalam']","['English,', 'Hindi,', 'Kannada,', 'Malayalam - Audio Description,', 'Malayalam [Original],', 'Tamil,', 'Telugu']"
A Dog's Way Home,2019,U/A 13+ ,1h 35m,"A devoted, homesick dog goes on a treacherous journey across the American heartland to be reunited with her owner.","['Family Features', 'Movies Based on Real Life', 'US Movies', 'Movies Based on Books', 'Action & Adventure', 'Dramas']",Heartfelt,"['Ben Ratner', 'Jonah Hauer-King', 'Spencer Drever', 'Alexandra Shipp', 'Patrick Gallagher', 'Tammy Gillis', 'Edward James Olmos', 'Wes Studi', 'Farrah Aviva', 'Broadus Mattison', 'Rolando Boyce', 'John Cassini', 'Barry Watson', 'Veenu Sandhu', 'Lucia Walters', 'Darcy Laurie', 'Chris Bauer', 'Cesar De Leon', 'Ashley Judd']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Jumanji: The Next Level,2019,U/A 13+ ,2h 3m,"When Spencer goes missing, Martha, Bethany and Fridge realize they must go back into Jumanji to find him — but something goes wrong.","['Family Features', 'US Movies', 'Movies Based on Books', 'Action & Adventure', 'Comedies']","Adrenaline Rush,","['Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan', 'Nick Jonas', 'Awkwafina', 'Rory McCann', 'Danny Glover', 'Danny DeVito', 'Alex Wolff', 'Morgan Turner', ""Ser'Darius Blain"", 'Madison Iseman', 'Colin Hanks', 'Rhys Darby']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Indoo Ki Jawani,2020,U/A 13+ ,1h 54m,"A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.","['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']",Romantic,"['Kiara Advani', 'Aditya Seal', 'Mallika Dua', 'Rakesh Bedi', 'Rajendra Sethi', 'Chittaranjan Tripathi', 'Rajesh Jais', 'Alka Badola Kaushal']","['English,', 'Hindi']",['Hindi [Original]']
G.I. Joe: Retaliation,2013,U/A 16+ ,1h 50m,"In this action-packed sequel to G.I. Joe: The Rise of Cobra, the elite anti-terrorist team finds itself framed for treason by global mercenary Zartan.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']",Exciting,"['Dwayne Johnson', 'Channing Tatum', 'Lee Byung-hun', 'Adrianne Palicki', 'Bruce Willis', 'Jonathan Pryce', 'Ray Stevenson', 'D.J. Cotrona', 'Ray Park', 'Élodie Yung']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Old Guard,2020,A ,2h 5m,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,"['US Movies', 'Movies Based on Books', 'Action & Adventure']","Gritty,","['Charlize Theron', 'KiKi Layne', 'Marwan Kenzari', 'Luca Marinelli', 'Harry Melling', 'Van Veronica Ngo', 'Matthias Schoenaerts', 'Chiwetel Ejiofor']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Chennai Express,2013,U/A 13+ ,2h 14m,What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.,"['Romantic Comedies', 'Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies', 'Romantic Movies']","Emotional,","['Shah Rukh Khan', 'Deepika Padukone', 'Nikitin Dheer', 'Satyaraj', 'Kamini Kaushal', 'Lekh Tandon', 'Mukesh Tiwari']",['English'],['Hindi [Original]']
Anacondas: The Hunt for the Blood Orchid,2004,U/A 16+ ,1h 36m,"A team of scientists sets out to find a rare orchid, unaware the flower is protected by deadly anacondas made even stronger by the mysterious plant.","['US Movies', 'Action & Adventure', 'Horror Movies']","Scary,","['Johnny Messner', 'KaDee Strickland', 'Matthew Marsden', 'Nicholas Gonzalez', 'Eugene Byrd', 'Karl Yune', 'Salli Richardson-Whitfield', 'Morris Chestnut', 'Andy Anderson', 'Nicholas Hope', 'Peter Curtin', 'Denis Arndt']","['English,', 'Hindi']","['English [Original],', 'Hindi']"
Bumblebee,2018,U/A 13+ ,1h 55m,"Fleeing from the Decepticons in 1987, Bumblebee hides out on Earth. But after he befriends a sad teen, the battered Beetle’s foes are hot on his trail.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Suspenseful,","['Hailee Steinfeld', 'John Cena', 'Jorge Lendeborg Jr.', 'John Ortiz', 'Jason Drucker', 'Pamela Adlon', 'Stephen Schneider', 'Len Cariou', 'Glynn Turman']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Enola Holmes 2,2022,U/A 13+ ,2h 10m,"Enola takes on her first official case as a detective, but to solve the mystery of a missing girl, she'll need help from friends — and brother Sherlock.","['Mysteries', 'Family Features', 'US Movies', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Witty,","['Millie Bobby Brown', 'Henry Cavill', 'David Thewlis', 'Louis Partridge', 'Helena Bonham Carter', 'Susan Wokoma', 'Adeel Akhtar', 'Sharon Duncan-Brewster']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Jack the Giant Slayer,2013,U/A 16+ ,1h 54m,"After he accidentally opens a gateway that allows giants to enter the kingdom, farm boy Jack seeks to undo the damage and rescue a kidnapped princess.","['US Movies', 'Action & Adventure', 'Romantic Movies']",Romantic,"['Nicholas Hoult', 'Eleanor Tomlinson', 'Ewan McGregor', 'Stanley Tucci', 'Ian McShane', 'Bill Nighy', 'Eddie Marsan', 'Ewen Bremner', 'Ralph Brown']",['English'],"['English [Original],', 'Hindi']"
Baahubali 2: The Conclusion (Hindi Version),2017,U/A 16+ ,2h 45m,"To avenge his father's death, a young man leads an army into battle against a cruel tyrant in this Hindi conclusion to the historic saga.","['Hindi-Language Movies', 'Action & Adventure', 'Dramas']",Exciting,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia', 'Sathyaraj', 'Ramya Krishnan', 'Nassar', 'Subbaraju']","['English,', 'Hindi']",['Hindi [Original]']
Terminator Genisys,2015,U/A 13+ ,2h 6m,"Thirty years after judgment day, John Connor sends a friend back to save his mother and stop the conflagration, unaware that things have changed.","['Sci-Fi Movies', 'US Movies', 'Action & Adventure']",Mind-Bending,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons', 'Dayo Okeniyi', 'Matt Smith', 'Courtney B. Vance', 'Lee Byung-hun', 'Michael Gladis']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Jurassic Park III,2001,U/A 16+ ,1h 32m,An aerial tour of an infamous dinosaur island lands a ragtag crew in a race for survival against inhabitants that are more evolved — and even deadlier.,"['Sci-Fi Movies', 'US Movies', 'Movies Based on Books', 'Action & Adventure']",Exciting,"['Sam Neill', 'Téa Leoni', 'William H. Macy', 'Alessandro Nivola', 'Trevor Morgan', 'Michael Jeter', 'John Diehl', 'Bruce A. Young', 'Laura Dern', 'Taylor Nichols', 'Mark Harelik', 'Julio Oscar Mechoso']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Warcraft,2016,A ,2h 3m,Humans and orcs clash when Draenor's warriors arrive at Azeroth through a portal in this fantasy tale based on the popular video game.,"['Sci-Fi Movies', 'US Movies', 'Action & Adventure']","Violent,","['Travis Fimmel', 'Paula Patton', 'Ben Foster', 'Dominic Cooper', 'Toby Kebbell', 'Ben Schnetzer', 'Robert Kazinsky', 'Clancy Brown', 'Daniel Wu', 'Ruth Negga', 'Anna Galvin', 'Callum Keith Rennie']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Huntsman: Winter's War,2016,U/A 13+ ,1h 54m,"After a devastating betrayal, kindhearted queen Freya unleashes wicked powers and wages war against love, which warriors Eric and Sara fall victim to.","['US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Chris Hemsworth', 'Charlize Theron', 'Jessica Chastain', 'Emily Blunt', 'Nick Frost', 'Rob Brydon', 'Sheridan Smith']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
47 Ronin,2013,U/A 16+ ,1h 58m,This action-adventure follows the exploits of 47 samurai warriors who plot to exact revenge on a court official responsible for their master's death.,"['US Movies', 'Action & Adventure']",Exciting,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki', 'Tadanobu Asano', 'Min Tanaka', 'Jin Akanishi', 'Masayoshi Haneda', 'Hiroshi Sogabe', 'Shu Nakajima', 'Cary-Hiroyuki Tagawa', 'Rinko Kikuchi']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Pirates: The Last Royal Treasure,2022,U/A 16+ ,2h 7m,"A gutsy crew of Joseon pirates and bandits battle stormy waters, puzzling clues and militant rivals in search of royal gold lost at sea.","['Action & Adventure', 'Comedies']","Adrenaline Rush,","['Kang Ha-neul', 'Han Hyo-joo', 'Lee Kwang-soo', 'Kwone Sang-woo', 'Chae Soo-bin', 'Oh Se-hun', 'Kim Seung-o', 'Park Ji-hwan']","['English,', 'English,', 'Korean,', 'Turkish']","['English,', 'Hindi,', 'Korean - Audio Description,', 'Korean [Original]']"
The Boss Baby,2017,U/A 7+ ,1h 37m,A kid finds himself at the center of a sinister corporate plot when his parents bring home a baby who only talks business when they're not around.,"['Spy Movies', 'Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']","Witty,","['Alec Baldwin', 'Lisa Kudrow', 'Jimmy Kimmel', 'Steve Buscemi', 'Miles Bakshi', 'Tobey Maguire']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Croods: A New Age,2020,U/A 7+ ,1h 35m,"While searching for a new home, the Croods discover a walled-in paradise inhabited by the inventive Betterman family. Then it all goes bananas.","['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Feel-Good,"['Nicolas Cage', 'Emma Stone', 'Ryan Reynolds', 'Catherine Keener', 'Cloris Leachman', 'Clark Duke', 'Leslie Mann', 'Peter Dinklage', 'Kelly Marie Tran']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Tom and Jerry,2021,U/A 7+ ,1h 41m,The classic cat-and-mouse duo creates chaos at a swanky NYC hotel when alley cat Tom is hired to get rid of scheming mouse Jerry before a VIP wedding.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Goofy,"['Chloë Grace Moretz', 'Michael Peña', 'Colin Jost', 'Rob Delaney', 'Pallavi Sharda', 'Jordan Bolger', 'Patsy Ferran', 'Ken Jeong']",['English'],"['English [Original],', 'Hindi']"
Sonic the Hedgehog,2020,U/A 7+ ,1h 41m,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creature's special powers to dominate the world.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Adrenaline Rush,","['James Marsden', 'Jim Carrey', 'Ben Schwartz', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Neal McDonough']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Stuart Little,1999,U/A 7+ ,1h 24m,"When his parents adopt a mouse instead of a little boy, George realizes brothers come in all shapes and sizes. But Snowbell the cat is not so welcoming.","['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']","Heartfelt,","['Michael J. Fox', 'Jonathan Lipnicki', 'Geena Davis', 'Hugh Laurie', 'Nathan Lane']","['English,', 'English,', 'Hindi']","['English [Original],', 'Hindi']"
Stuart Little 2,2002,U/A 7+ ,1h 17m,Trouble's in the air for spirited city mouse Stuart and family cat Snowbell when a new canary friend flies into danger with a ruthless falcon.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",,"['Michael J. Fox', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki', 'Nathan Lane', 'Melanie Griffith', 'James Woods', 'Steve Zahn']","['English,', 'English,', 'Hindi']","['English [Original],', 'Hindi']"
"Lyle, Lyle, Crocodile",2022,U/A 7+ ,1h 46m,Josh and his parents are shocked to find a singing crocodile in their attic but quickly learn to love him. If only their grumpy neighbor felt the same!,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Feel-Good,"['Javier Bardem', 'Constance Wu', 'Shawn Mendes', 'Winslow Fegley', 'Scoot McNairy', 'Brett Gelman', 'Ego Nwodim', 'Lyric Hurd']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Puss in Boots,2011,U/A 7+ ,1h 32m,The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure: the Golden Goose.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']","Witty,","['Antonio Banderas', 'Salma Hayek', 'Zach Galifianakis', 'Billy Bob Thornton', 'Amy Sedaris', 'Constance Marie', 'Guillermo del Toro', 'Mike Mitchell']","['Bangla,', 'English,', 'Hindi,', 'Tamil']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Madagascar,2005,U/A 7+ ,1h 26m,Four animal friends get a taste of the wild life when they break out of captivity at the Central Park Zoo and wash ashore on the island of Madagascar.,"['Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Goofy,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Tom McGrath', 'Christopher Knights', 'Chris Miller']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Monster House,2006,U/A 7+ ,1h 30m,"A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own.","['Mysteries', 'Family Features', 'US Movies', 'Children & Family Movies', 'Comedies']",Exciting,"['Mitchel Musso', 'Sam Lerner', 'Spencer Locke', 'Steve Buscemi', 'Kathleen Turner', 'Jason Lee', 'Jon Heder', 'Maggie Gyllenhaal', ""Catherine O'Hara"", 'Fred Willard', 'Nick Cannon', 'Kevin James']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Charlie and the Chocolate Factory,2005,U/A 7+ ,1h 54m,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.,"['Family Features', 'US Movies', 'Movies Based on Books', 'Children & Family Movies', 'Comedies']",Quirky,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee', 'Adam Godley', 'AnnaSophia Robb', 'Julia Winter', 'Jordan Fry', 'Philip Wiegratz']",['English'],"['English [Original],', 'Hindi']"
